"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Feb 17 12:21:10 GMT 2024","Sat Feb 17 12:21:10 GMT 2024","1","chromium","addresses.spec.js","Account address","","","Should verify adding new account address",""
"passed","Sat Feb 17 12:21:11 GMT 2024","Sat Feb 17 12:21:13 GMT 2024","2597","chromium","login.spec.js","Log In","","","Should verify successful login",""
