"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 12:55:36 GMT 2024","Sat Feb 17 12:55:38 GMT 2024","2602","chromium","login.spec.js","Log In","","","Should verify successful login",""
"skipped","Sat Feb 17 12:55:36 GMT 2024","Sat Feb 17 12:55:36 GMT 2024","1","chromium","addresses.spec.js","Account address","","","Should verify adding new account address",""
