"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Feb 17 12:34:33 GMT 2024","Sat Feb 17 12:34:33 GMT 2024","1","chromium","addresses.spec.js","Account address","","","Should verify adding new account address",""
"passed","Sat Feb 17 12:34:33 GMT 2024","Sat Feb 17 12:34:37 GMT 2024","3360","chromium","login.spec.js","Log In","","","Should verify successful login",""
