"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 16 18:24:20 GMT 2024","Fri Feb 16 18:24:20 GMT 2024","1","chromium","addresses.spec.js","Account address","","","Should verify adding new account address",""
"passed","Fri Feb 16 18:24:21 GMT 2024","Fri Feb 16 18:24:23 GMT 2024","2475","chromium","login.spec.js","Log In","","","Should verify successful login",""
